,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
37,"  95 CHIANG, CHENG-FENG",21,0,21,0,0,0,0,1,0,1,3,16.0,2.00,8.44,83,284,26,6,6,1,1,11,1,0,15,15,16,22,0.727
38,  21 Bryan Woodall,21,18,3,0,0,0,2,12,0,0,0,113.1,1.40,5.48,502,1821,147,22,12,1,11,76,5,0,82,69,153,99,1.545
39,"  45 SHIH, TZU-CHIEN",20,18,2,0,0,0,5,8,0,0,0,96.2,1.54,6.42,445,1644,127,18,22,1,9,59,5,0,82,69,112,115,0.974
40,  26 瑞安,20,19,1,0,0,0,6,9,0,0,0,111.0,1.68,6.08,511,1791,161,15,25,1,3,74,3,0,83,75,138,109,1.266
41,"  60 CHENG, CHUN-JEN",19,0,19,0,0,0,0,0,0,2,1,18.0,1.67,9.00,86,329,22,3,8,0,0,9,1,0,20,18,18,29,0.621
42,"  16 CHIANG, CHEN-YEN",19,18,1,0,0,0,4,8,0,0,0,95.0,1.62,5.40,437,1751,113,15,41,2,9,87,3,0,66,57,83,102,0.814
43,  49 Ryan Bollinger,19,19,0,1,1,1,6,5,0,0,0,108.2,1.31,4.31,470,1837,108,8,34,0,10,127,5,1,57,52,106,85,1.247
44,  30 Josh Roenicke,19,18,1,0,0,0,5,6,0,0,0,105.1,1.17,3.50,434,1683,95,7,28,1,1,87,3,0,42,41,134,88,1.523
45,"  11 LIN, CHEN-HUA",18,1,17,0,0,0,0,1,0,0,0,24.2,1.74,7.30,121,418,35,3,8,1,4,15,0,0,21,20,24,33,0.727
46,  31 紐維拉,18,18,0,0,0,0,9,3,0,0,0,117.0,1.21,2.92,485,1807,115,10,27,2,5,107,3,1,46,38,108,119,0.908
47,"  64 HUANG, EN-SIH",17,14,3,0,0,0,3,5,0,0,1,68.2,1.82,7.47,330,1172,100,13,25,0,7,47,4,0,58,57,80,70,1.143
48,  20 翁瑋均,16,14,2,0,0,0,3,6,0,0,0,70.1,1.51,6.14,318,1122,82,12,24,0,5,40,4,0,53,48,75,92,0.815
49,"  94 WU, CHUN-WEI",16,0,16,0,0,0,3,0,0,0,2,18.2,1.50,2.89,83,307,20,0,8,1,1,11,0,0,8,6,20,22,0.909
50,"  50 TSAI, CHI-CHE",15,12,3,0,0,0,2,6,0,0,0,64.1,1.55,6.30,285,1088,80,11,20,1,2,38,5,0,47,45,56,88,0.636
51,"  17 HUNG, CHEN-YU",15,0,15,0,0,0,0,1,0,2,4,10.1,2.52,6.97,59,223,16,2,10,2,2,5,2,0,8,8,13,11,1.182
52,  49 亞力克,15,9,6,0,0,0,1,6,2,0,0,56.2,1.50,4.29,252,920,77,6,8,0,2,43,1,0,32,27,75,47,1.596
53,"  29 WANG, YU-PU",14,3,11,0,0,0,1,2,0,0,0,24.1,1.97,8.14,128,453,34,0,14,1,7,15,3,0,24,22,38,19,2.000
